fecha,fore
2020?08-15,2501.0
2020?08-16,2287.313
2020?08-17,2292.207
2020?08-18,2282.491
2020?08-19,2319.29
2020?08-20,2346.384
2020?08-21,2368.514
2020?08-22,2394.127
2020?08-23,2414.632
2020?08-24,2431.233
2020?,2445.142
2020?,2455.391
2020?,2463.584
2020?,2469.989
2020?,2474.524
2020?,2477.602
2020?,2480.011
2020?,2481.69
2020?,2482.852
2020?,2483.637
2020?,2484.151
2020?,2484.481
2020?,2484.685
2020?,2484.806
2020?,2484.874
2020?,2484.908
2020?,2484.921
2020?,2484.924
2020?,2484.92
2020?,2484.914
2020?,2484.907
