Fecha,I0,N
2020-02-20,3,83992949
2020-02-21,13,
2020-02-22,10,
2020-02-23,15,
2020-02-24,4,
2020-02-25,48,
2020-02-26,44,
2020-02-27,0,
2020-02-28,249,
2020-02-29,0,
2020-03-01,205,
2020-03-02,0,
2020-03-03,908,
2020-03-04,1421,
2020-03-05,591,
2020-03-06,1234,
2020-03-07,1076,
2020-03-08,743,
2020-03-09,595,
2020-03-10,881,
2020-03-11,958,
2020-03-12,1075,
2020-03-13,1289,
2020-03-14,1365,
2020-03-15,1254,
2020-03-16,1008,
2020-03-17,1178,
2020-03-18,1192,
2020-03-19,1046,
2020-03-20,1233,
2020-03-21,966,
2020-03-22,1028,
2020-03-23,1411,
2020-03-24,1762,
2020-03-25,2206,
2020-03-26,2389,
2020-03-27,2926,
2020-03-28,3076,
2020-03-29,2901,
2020-03-30,3186,
2020-03-31,3111,
2020-04-01,2987,
2020-04-02,2875,
2020-04-03,2715,
2020-04-04,2560,
2020-04-05,0,
2020-04-06,2483,
2020-04-07,2274,
2020-04-08,2089,
2020-04-09,1997,
2020-04-10,1634,
2020-04-11,1972,
2020-04-12,1837,
2020-04-13,1657,
2020-04-14,1617,
2020-04-15,1574,
2020-04-16,1512,
2020-04-17,1606,
2020-04-18,1499,
2020-04-19,1374,
2020-04-20,1343,
2020-04-21,1294,
2020-04-22,1297,
2020-04-23,1194,
2020-04-24,1030,
2020-04-25,1168,
2020-04-26,1134,
2020-04-27,1153,
2020-04-28,991,
2020-04-29,1112,
2020-04-30,1073,
2020-05-01,983,
2020-05-02,1006,
2020-05-03,802,
2020-05-04,976,
2020-05-05,1223,
2020-05-06,1323,
2020-05-07,1680,
2020-05-08,1485,
2020-05-09,1556,
2020-05-10,1529,
2020-05-11,1383,
2020-05-12,1683,
2020-05-13,1481,
2020-05-14,1958,
2020-05-15,1808,
2020-05-16,2102,
2020-05-17,1757,
2020-05-18,1806,
2020-05-19,2294,
2020-05-20,2111,
2020-05-21,2346,
2020-05-22,2392,
2020-05-23,2311,
2020-05-24,1869,
2020-05-25,2180,
2020-05-26,2023,
2020-05-27,1787,
2020-05-28,2080,
2020-05-29,2258,
2020-05-30,2819,
2020-05-31,2282,
2020-06-01,2516,
2020-06-02,2979,
2020-06-03,3117,
2020-06-04,3134,
2020-06-05,3574,
2020-06-06,2886,
2020-06-07,2269,
2020-06-08,2364,
2020-06-09,2043,
2020-06-10,2095,
2020-06-11,2011,
2020-06-12,2238,
2020-06-13,2369,
2020-06-14,2410,
2020-06-15,2472,
2020-06-16,2449,
2020-06-17,2563,
2020-06-18,2612,
2020-06-19,2596,
2020-06-20,2615,
2020-06-21,2322,
2020-06-22,2368,
2020-06-23,2573,
2020-06-24,2445,
2020-06-25,2531,
2020-06-26,2595,
2020-06-27,2628,
2020-06-28,2456,
2020-06-29,2489,
2020-06-30,2536,
2020-07-01,2457,
2020-07-02,2549,
2020-07-03,2652,
2020-07-04,2566,
2020-07-05,2449,
2020-07-06,2560,
2020-07-07,2613,
2020-07-08,2637,
2020-07-09,2691,
2020-07-10,2079,
2020-07-11,2262,
2020-07-12,2397,
2020-07-13,2186,
2020-07-14,2349,
2020-07-15,2521,
2020-07-16,2388,
2020-07-17,2500,
2020-07-18,2379,
2020-07-19,2166,
2020-07-20,2182,
2020-07-21,2414,
2020-07-22,2625,
2020-07-23,2586,
2020-07-24,2621,
2020-07-25,2489,
2020-07-26,2316,
2020-07-27,2333,
2020-07-28,2434,
2020-07-29,2667,
2020-07-30,2636,
2020-07-31,2621,
2020-08-01,2674,
2020-08-02,2548,
2020-08-03,2685,
2020-08-04,2598,
2020-08-05,2751,
2020-08-06,2697,
2020-08-07,2634,
2020-08-08,2450,
2020-08-09,2125,
2020-08-10,2020,
2020-08-11,2132,
2020-08-12,2345,
2020-08-13,2510,
2020-08-14,2625,
2020-08-15,2501,
2020-08-16,2245,
2020-08-17,2133,
2020-08-18,2247,
2020-08-19,2385,
2020-08-20,2444,
2020-08-21,2279,
2020-08-22,2206,
2020-08-23,2028,
2020-08-24,2113,
2020-08-25,2245,
2020-08-26,2213,
2020-08-27,2243,
2020-08-28,2190,
2020-08-29,2115,
2020-08-30,1905,
2020-08-31,1754,
2020-09-01,1642,
2020-09-02,1682,
2020-09-03,1858,
2020-09-04,1994,
2020-09-05,2026,
2020-09-06,1894,
2020-09-07,1992,
2020-09-08,2152,
2020-09-09,2302,
2020-09-10,2313,
2020-09-11,2063,
2020-09-12,2313,
2020-09-13,2139,
2020-09-14,2089,
